Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.13,-.02,-.79,-.51,-.28,-.15,-.11,-.04,.05,.68
1881,-.09,-.18,.00,-.35,.10,-.07,-.91,-.48,-.19,.10,.10,-.06,-.07,.60
1882,-.11,-.21,-.01,-.31,-.05,.01,-1.40,-.29,-.14,-.05,-.05,.01,.04,.63
1883,-.17,-.28,-.07,-.34,-.16,-.01,-.15,-.57,-.24,-.17,-.15,-.04,.07,.50
1884,-.28,-.43,-.15,-.60,-.14,-.14,-1.28,-.65,-.47,-.12,-.17,-.19,-.02,.65
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.48,-.69,-.46,-.06,-.20,-.34,-.15,.82
1886,-.31,-.43,-.20,-.56,-.19,-.21,-1.56,-.51,-.40,-.21,-.18,-.20,-.20,.59
1887,-.36,-.43,-.29,-.52,-.29,-.28,-1.74,-.52,-.29,-.29,-.30,-.28,-.26,.32
1888,-.17,-.23,-.12,-.41,.10,-.29,-1.27,-.44,-.24,.08,.13,-.31,-.22,.16
1889,-.10,-.17,-.04,-.29,.08,-.16,-.66,-.23,-.27,.02,.14,-.15,-.15,.45
1890,-.35,-.38,-.32,-.45,-.36,-.22,-1.12,-.57,-.26,-.26,-.47,-.18,-.27,.15
1891,-.22,-.25,-.19,-.42,-.07,-.21,-1.10,-.35,-.36,.01,-.16,-.18,-.23,-.15
1892,-.27,-.39,-.15,-.43,-.30,-.08,-1.11,-.67,-.17,-.33,-.26,.02,-.21,.09
1893,-.31,-.47,-.15,-.50,-.36,-.05,-.58,-.55,-.46,-.42,-.30,.07,-.20,-.04
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.88,-.34,-.18,-.48,-.18,-.15,-.35,-.37
1895,-.22,-.30,-.15,-.40,-.07,-.26,-.64,-.53,-.27,-.14,.01,-.20,-.32,-.58
1896,-.11,-.19,-.03,-.34,.10,-.15,-.82,-.38,-.22,.05,.15,-.16,-.13,.26
1897,-.11,-.16,-.05,-.35,.17,-.24,-.50,-.47,-.24,.14,.21,-.20,-.27,.41
1898,-.27,-.28,-.26,-.35,-.21,-.27,-1.13,-.25,-.23,-.17,-.26,-.28,-.21,.38
1899,-.17,-.20,-.14,-.24,-.11,-.19,-1.00,-.11,-.15,-.15,-.07,-.16,-.22,.59
1900,-.08,-.09,-.06,-.20,.17,-.30,-.51,-.17,-.15,.09,.26,-.29,-.29,.27
1901,-.15,-.12,-.18,-.16,-.03,-.30,-.34,-.11,-.15,-.06,-.01,-.27,-.33,.26
1902,-.28,-.33,-.22,-.54,-.03,-.35,-1.49,-.52,-.32,-.01,-.04,-.28,-.43,-.04
1903,-.37,-.37,-.36,-.46,-.28,-.38,-.20,-.43,-.56,-.23,-.33,-.35,-.40,-.49
1904,-.47,-.48,-.45,-.52,-.45,-.44,-.20,-.61,-.55,-.43,-.48,-.37,-.49,-1.32
1905,-.26,-.28,-.22,-.40,-.07,-.35,-.01,-.24,-.62,-.10,-.04,-.33,-.37,-.34
1906,-.22,-.23,-.20,-.25,-.18,-.23,-.25,-.08,-.39,-.20,-.17,-.20,-.22,-.72
1907,-.38,-.47,-.29,-.59,-.30,-.29,-.54,-.73,-.52,-.30,-.30,-.21,-.36,-1.20
1908,-.42,-.45,-.40,-.48,-.42,-.36,-.18,-.55,-.52,-.41,-.45,-.29,-.48,.67
1909,-.48,-.49,-.47,-.53,-.47,-.44,-.69,-.63,-.44,-.43,-.51,-.37,-.52,-.57
1910,-.43,-.44,-.43,-.42,-.48,-.38,-.56,-.25,-.50,-.48,-.49,-.33,-.45,.16
1911,-.44,-.42,-.46,-.42,-.43,-.48,-.23,-.42,-.48,-.42,-.43,-.44,-.52,.05
1912,-.36,-.46,-.24,-.59,-.18,-.37,-.47,-.79,-.51,-.27,-.08,-.36,-.29,-1.64
1913,-.34,-.41,-.26,-.44,-.26,-.35,-.44,-.33,-.51,-.38,-.14,-.28,-.40,-1.04
1914,-.15,-.18,-.10,-.24,-.05,-.18,-.31,-.16,-.29,-.10,-.01,-.15,-.18,-.37
1915,-.13,-.13,-.13,-.23,.00,-.22,-.55,-.17,-.19,.00,-.01,-.15,-.23,-1.99
1916,-.35,-.41,-.30,-.37,-.44,-.23,-.46,-.55,-.24,-.48,-.40,-.23,-.17,-1.05
1917,-.45,-.57,-.36,-.49,-.63,-.19,-.76,-.50,-.43,-.67,-.58,-.23,-.09,.06
1918,-.29,-.40,-.20,-.40,-.33,-.14,-.98,-.28,-.35,-.39,-.28,-.06,-.22,-.28
1919,-.27,-.35,-.20,-.43,-.20,-.22,-.67,-.56,-.30,-.23,-.16,-.14,-.32,.19
1920,-.27,-.30,-.24,-.25,-.25,-.32,.00,-.21,-.35,-.38,-.12,-.19,-.48,-1.15
1921,-.19,-.11,-.26,.02,-.25,-.31,.01,.17,-.09,-.28,-.21,-.23,-.38,-.84
1922,-.28,-.27,-.29,-.24,-.32,-.27,-.26,-.40,-.13,-.32,-.31,-.24,-.28,-.28
1923,-.26,-.22,-.31,-.15,-.30,-.34,.22,-.15,-.26,-.32,-.27,-.26,-.41,-.55
1924,-.27,-.18,-.35,-.12,-.26,-.43,.55,-.25,-.23,-.27,-.24,-.40,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.37,-.04,.17,-.19,-.28,-.20,-.24,-.54,-.86
1926,-.11,.01,-.21,.02,.01,-.40,.58,.15,-.23,-.01,.03,-.35,-.45,-.64
1927,-.22,-.14,-.29,-.13,-.16,-.38,.04,-.22,-.13,-.15,-.17,-.30,-.45,-1.39
1928,-.20,-.11,-.29,-.08,-.15,-.39,.67,-.18,-.23,-.15,-.15,-.29,-.48,-2.13
1929,-.36,-.34,-.38,-.38,-.28,-.46,.12,-.62,-.39,-.28,-.28,-.43,-.44,-1.08
